text,label
they are always friendly and helpful . <eos>,PresPosPlural
they have a great selection of beers and shakes . <eos>,PresPosPlural
they are always friendly and they have a great selection of beers and always refilled . <eos>,PresPosPlural
they are very friendly and have always been happy with their jobs . <eos>,PresPosPlural
they ' re always so good and well . <eos>,PresPosPlural
they have a great selection of beers and they are very good . <eos>,PresPosPlural
this is a great place to go to watch for ages . <eos>,PresPosPlural
love these guys ! <eos>,PresPosPlural
this is one of the best thai restaurants i have ever been to . <eos>,PresPosPlural
they have a great selection of beers . <eos>,PresPosPlural
they have a great selection of beers and they ' re very good . <eos>,PresPosPlural
"the prices are reasonable , and they have a great selection of beers . <eos>",PresPosPlural
"the prices are reasonable , and the prices are comparable than others . <eos>",PresPosPlural
the best part of the best places in the area is great . <eos>,PresPosPlural
they are very friendly and the staff are very friendly . <eos>,PresPosPlural
they are always very nice and have a great selection of things . <eos>,PresPosPlural
this is my favorite starbucks . <eos>,PresPosPlural
they are able to have a great selection of beers and will be returning . <eos>,PresPosPlural
they are very friendly and have always been very nice and helpful . <eos>,PresPosPlural
and the prices are great . <eos>,PresPosPlural
great people who work here and they are always friendly . <eos>,PresPosPlural
the people here are very friendly . <eos>,PresPosPlural
"also , the prices are reasonable , and the prices are reasonable . <eos>",PresPosPlural
we have been coming here and they are always delicious . <eos>,PresPosPlural
thank you guys rock ! <eos>,PresPosPlural
the prices are reasonable . <eos>,PresPosPlural
and the prices are great ! <eos>,PresPosPlural
and they are amazing ! <eos>,PresPosPlural
they are so nice and honest . <eos>,PresPosPlural
prices are great . <eos>,PresPosPlural
they are very friendly and willing to help you . <eos>,PresPosPlural
the people here are very friendly . <eos>,PresPosPlural
all the people who work here are very friendly . <eos>,PresPosPlural
the prices are reasonable and the prices are very reasonable as well . <eos>,PresPosPlural
the people who work here are very nice . <eos>,PresPosPlural
and they are always friendly . <eos>,PresPosPlural
we have always had a great experience of the prices . <eos>,PresPosPlural
this is a great place to go to watch for sports . <eos>,PresPosPlural
we love the food and drinks . <eos>,PresPosPlural
the chips and salsa are great and the salsa is great . <eos>,PresPosPlural
"they are all great , and they are awesome ! <eos>",PresPosPlural
employees are friendly . <eos>,PresPosPlural
they ' re very nice and they are always willing to help . <eos>,PresPosPlural
the people are so nice and have a blast . <eos>,PresPosPlural
the prices are very reasonable as well . <eos>,PresPosPlural
thanks you guys for your help . <eos>,PresPosPlural
all of the reviews are great and they are very reasonable . <eos>,PresPosPlural
they have a great selection of beers and shakes . <eos>,PresPosPlural
and the people who work here are very nice . <eos>,PresPosPlural
the people who work here are very nice and the food is delicious . <eos>,PresPosPlural
they are very fresh and very tasty . <eos>,PresPosPlural
the prices are very reasonable . <eos>,PresPosPlural
we love this place for our pets ! <eos>,PresPosPlural
they are always friendly and the staff are always friendly and helpful . <eos>,PresPosPlural
and they are passionate and genuinely cares about their patients customers . <eos>,PresPosPlural
they are always nice and they have a great selection of beers and shakes . <eos>,PresPosPlural
the fried pickles are delicious and the fries are all delicious and delicious . <eos>,PresPosPlural
they are always very nice . <eos>,PresPosPlural
"they are all great , and they have a great selection of beers and shakes . <eos>",PresPosPlural
and fresh . <eos>,PresPosPlural
the people here are so nice . <eos>,PresPosPlural
the rooms are clean and the beds are comfy . <eos>,PresPosPlural
the chips and salsa are delicious and the salsa is delicious . <eos>,PresPosPlural
they have a great selection of beers and they are very good . <eos>,PresPosPlural
i ' m recommend if you ' re looking for a great experience . <eos>,PresPosPlural
my friends and i love coming here and we will continue back soon . <eos>,PresPosPlural
if you are looking for a great time . <eos>,PresPosPlural
and the best dentists ! <eos>,PresPosPlural
thank you guys guys ! <eos>,PresPosPlural
this is the best place to eat in charlotte . <eos>,PresPosPlural
"and the prices are reasonable , especially for the price . <eos>",PresPosPlural
these guys are so nice ! <eos>,PresPosPlural
the burgers are also very good . <eos>,PresPosPlural
we ' re always been going here and we will continue to go back . <eos>,PresPosPlural
the rooms are clean and the beds are comfy and spacious and comfortable . <eos>,PresPosPlural
there are plenty of choices of options and the prices are very reasonable . <eos>,PresPosPlural
these guys are awesome ! <eos>,PresPosPlural
love love love this place ! <eos>,PresPosPlural
the prices are very reasonable . <eos>,PresPosPlural
they are very friendly and have a great selection of beers . <eos>,PresPosPlural
i have been going here since we ' ve always had . <eos>,PresPosPlural
and they are always willing to make you . <eos>,PresPosPlural
the people here are very friendly . <eos>,PresPosPlural
"they are the best sandwiches , and the fries are delicious . <eos>",PresPosPlural
"the chips and salsa are good , and the salsa is really good too . <eos>",PresPosPlural
servers are friendly and helpful . <eos>,PresPosPlural
we love this place for years ! <eos>,PresPosPlural
the prices are reasonable for the price of the kids . <eos>,PresPosPlural
but the best part of the best places i have ever had in charlotte . <eos>,PresPosPlural
the employees are very friendly . <eos>,PresPosPlural
all the employees are friendly and helpful . <eos>,PresPosPlural
the fried pickles are the best in the world . <eos>,PresPosPlural
and they are open 24/7 24/7 . <eos>,PresPosPlural
we love the food and the prices are reasonable . <eos>,PresPosPlural
"the prices are reasonable , and the prices are reasonable for the price . <eos>",PresPosPlural
and they have a great selection of beers and they are very nice . <eos>,PresPosPlural
this is my favorite place to eat here . <eos>,PresPosPlural
the people who work here are very friendly and very helpful . <eos>,PresPosPlural
the people are always very nice . <eos>,PresPosPlural
they have a great selection of beers and they ' re strong . <eos>,PresPosPlural
but it ' s a great deal . <eos>,PresPosSingular
i love this place and the best ! <eos>,PresPosSingular
i love this place and the staff is great . <eos>,PresPosSingular
this is a great place . <eos>,PresPosSingular
the chicken is the best i have had in the entire of life . <eos>,PresPosSingular
the staff here is always friendly and helpful . <eos>,PresPosSingular
i highly recommend this place ! <eos>,PresPosSingular
i love this place and i will continue to go here . <eos>,PresPosSingular
this is a great place to eat . <eos>,PresPosSingular
"the food , service is always good and the food is always good . <eos>",PresPosSingular
but the food is always good . <eos>,PresPosSingular
the chicken is a good thing with the sauce is very tasty . <eos>,PresPosSingular
and it ' s a great place . <eos>,PresPosSingular
she is very friendly and i always feel comfortable . <eos>,PresPosSingular
the food and service is always good . <eos>,PresPosSingular
this is a great place to go to get a quick lunch lunch spot . <eos>,PresPosSingular
but the food is always good and the service is always friendly . <eos>,PresPosSingular
but the food is always good and the service is great . <eos>,PresPosSingular
it is a great place to dine out . <eos>,PresPosSingular
it ' s a great place to get a great food and a great price . <eos>,PresPosSingular
i highly recommend this place to anyone who wants to be back . <eos>,PresPosSingular
the service is always fast and friendly and attentive . <eos>,PresPosSingular
this place is a hidden gem . <eos>,PresPosSingular
the staff is always friendly and helpful . <eos>,PresPosSingular
the best part is the best part . <eos>,PresPosSingular
the food is always good too . <eos>,PresPosSingular
it is a great little restaurant . <eos>,PresPosSingular
i recommend this place to anyone who . <eos>,PresPosSingular
this is a great place to eat and it ' s not . <eos>,PresPosSingular
the best part of the food . <eos>,PresPosSingular
the food is always good and the service is excellent . <eos>,PresPosSingular
this is a great place to eat the strip . <eos>,PresPosSingular
it ' s a great place to eat . <eos>,PresPosSingular
i love this place ! <eos>,PresPosSingular
