text,label
this is a great place to hang up and the staff is very friendly . <eos>,Present
i love the fact that they have a great selection of wines . <eos>,Present
i love this place and will be back . <eos>,Present
they have a good selection of beers and the prices . <eos>,Present
they are always very friendly and helpful with the whole process . <eos>,Present
the best part of the food is the best thing . <eos>,Present
these guys are not very rude . <eos>,Present
it ' s a lot of fun to watch at the strip . <eos>,Present
they are not even better than the food is worth it . <eos>,Present
this place is a great place to hang up for a date . <eos>,Present
the food here is always great . <eos>,Present
the owners are always friendly and the prices are always very reasonable . <eos>,Present
love this place ! <eos>,Present
i love this place and the food is amazing ! <eos>,Present
this place has a great atmosphere . <eos>,Present
they also have the best desserts ever . <eos>,Present
my wife and i love this place . <eos>,Present
i also love their salsa and chips are delicious . <eos>,Present
the owners are very nice and helpful and helpful . <eos>,Present
the ` ` salsa ' ' are . <eos>,Present
they are always great and the food is always great . <eos>,Present
the food here is always fresh and the service is great . <eos>,Present
the staff is always very friendly and helpful . <eos>,Present
this is the worst hotel i have ever had . <eos>,Present
"my husband and i love this place , i love it . <eos>",Present
there is no one of the best places to eat here . <eos>,Present
i love this place . <eos>,Present
this is a great place to hang up and relax . <eos>,Present
"also , the food is not worth the price . <eos>",Present
"but , this place is not a very good job . <eos>",Present
there are plenty of the best places to eat in the area to eat . <eos>,Present
i am very disappointed with the service and service here . <eos>,Present
always great and the service is great . <eos>,Present
this is the best service and the staff has been great and always friendly . <eos>,Present
this is a great place to eat . <eos>,Present
this is a second time i ' m giving them to be a regular . <eos>,Present
"the food is good , but it ' s not worth the wait for it . <eos>",Present
first time i am not a fan . <eos>,Present
i have been here twice and it ' s always packed . <eos>,Present
"they also have the salsa , which is very good . <eos>",Present
i have been here several times and it is always great . <eos>,Present
management is rude and does n't care about their patients . <eos>,Present
staff is always friendly and the food is always great . <eos>,Present
this place is a gem of the best food . <eos>,Present
if you are looking for a good time . <eos>,Present
"the food , the service is always fast and friendly . <eos>",Present
they do n't even deserve the service . <eos>,Present
love the place i love it ! <eos>,Present
"the food is good , but not worth it . <eos>",Present
absolutely love ! <eos>,Present
"if you ' re looking for a good mood , this place . <eos>",Present
portions are generous and the service is excellent . <eos>,Present
the food is always good and not worth it . <eos>,Present
"if you are looking for a good mood , i will definitely be back . <eos>",Present
the wait staff are always friendly and helpful too . <eos>,Present
the staff here are always friendly . <eos>,Present
the best part of the best food ! <eos>,Present
they have a great selection of beers and beverages . <eos>,Present
i have been here twice and it ' s always been great . <eos>,Present
the service is always been great and i will never go back again again . <eos>,Present
this is a great place to go to hang up to watch sporting events . <eos>,Present
it ' s a great place to hang up and the food is great . <eos>,Present
"love this place , love love love love this place . <eos>",Present
the ` ` do n't work . <eos>,Present
this is the worst hotel i have ever had . <eos>,Present
the kids are awesome ! <eos>,Present
they are not a great job to make sure you are in . <eos>,Present
"$ _num_ for _num_ _num_ , i think they have a ton of _num_ . <eos>",Present
it ' s not worth the wait to wait . <eos>,Present
but the food is n't good as well . <eos>,Present
the staff are always friendly and the food is great . <eos>,Present
they have a great selection of beers . <eos>,Present
"they make the food , and the service is always very good . <eos>",Present
i love the atmosphere and live music . <eos>,Present
i am not going back to this place . <eos>,Present
some of the best pizzas i have ever had in a long time . <eos>,Present
i have been here several times and it is always great . <eos>,Present
their chicken is amazing ! <eos>,Present
"love the food , love the atmosphere is great ! <eos>",Present
also the food is always good and the service is always great . <eos>,Present
the food here is very good and fresh . <eos>,Present
they have _num_ minutes for _num_ minutes for our food . <eos>,Present
i do n't know why they do n't have a reservation . <eos>,Present
all the employees are very nice and helpful . <eos>,Present
the food is worth the wait . <eos>,Present
they have a good selection of beers tap . <eos>,Present
i love the atmosphere and atmosphere . <eos>,Present
i have been here several times and always been pleased . <eos>,Present
it is always clean and very clean . <eos>,Present
this is the best part of the staff . <eos>,Present
this place is awesome ! <eos>,Present
very friendly staff and the food is very good . <eos>,Present
food is always good and the service is always great . <eos>,Present
i am not impressed with the service and i love it . <eos>,Present
"i love this place , i love the food and i love it . <eos>",Present
best thing i have ever had in a long time . <eos>,Present
i love this place . <eos>,Present
this is a great place to . <eos>,Present
the food is always fresh and flavorful and delicious . <eos>,Present
the rooms are very clean . <eos>,Present
it ' s a great place to hang up and relax . <eos>,Present
"the prices are reasonable , especially the quality of the food . <eos>",Present
i do n't recommend this place . <eos>,Present
the food is always great . <eos>,Present
i am not sure why i am giving a fan of this place . <eos>,Present
this place is n't even deserve what they do . <eos>,Present
and the food is great . <eos>,Present
the food and service are always great . <eos>,Present
this is a little pricey but worth the price . <eos>,Present
we love the food and the service is great . <eos>,Present
i recommend them to anyone who take your pet and your needs . <eos>,Present
this place is a lot of fun to eat . <eos>,Present
they have great service and the staff are always friendly and helpful . <eos>,Present
it ' s a great place to hang up and the food is great . <eos>,Present
this is my second time and i am very happy with my results . <eos>,Present
"i love the food , i love this place for . <eos>",Present
the manager and his team are rude and condescending . <eos>,Present
"i love the food , it ' s always fresh and tasty . <eos>",Present
the food is n't worth it at all costs . <eos>,Present
the staff are very nice . <eos>,Present
they make you feel like family . <eos>,Present
they are always very nice and helpful with me . <eos>,Present
i highly recommend this place . <eos>,Present
this is a great place to hang up . <eos>,Present
this place has been a great time to go in a long time . <eos>,Present
"it ' s a good place to watch , but the food is great . <eos>",Present
also the best part of the best burgers i have had . <eos>,Present
they are always friendly and helpful . <eos>,Present
they have a great selection of the staff and helpful . <eos>,Present
staff is always friendly and helpful and the food is always great . <eos>,Present
the food is amazing ! <eos>,Present
thank you for a great experience for my furry babies here . <eos>,Present
i recommend them to anyone who needs to help . <eos>,Present
this is a great place . <eos>,Present
so i have been here for years and i have never been disappointed . <eos>,Present
the people who work there are very nice and helpful and helpful . <eos>,Present
it is a great deal . <eos>,Present
but the food is n't worth the price . <eos>,Present
this place is a great place to hang up for a date . <eos>,Present
the people who work here are always nice and have great service . <eos>,Present
the food is always good and i love the atmosphere . <eos>,Present
the service here is always been great and i always leave . <eos>,Present
"salsa is really good , too . <eos>",Present
great service and the food is great ! <eos>,Present
i wish i could have a great time . <eos>,Present
this is a great place to hang up . <eos>,Present
i love this place . <eos>,Present
if you want to give this place a try again . <eos>,Present
the service is always great and they are very friendly . <eos>,Present
they have a great selection of beers and wine list . <eos>,Present
no wonder i guess . <eos>,Present
i am very pleased with their service . <eos>,Present
it ' s worth the wait . <eos>,Present
all the food is always fresh and the service is always top notch . <eos>,Present
this place is very very clean . <eos>,Present
the chicken tenders are very good and i ' m not sure back . <eos>,Present
there are no signs in the area . <eos>,Present
the food is always great and i love the atmosphere . <eos>,Present
my family and i love this place and everyone . <eos>,Present
i love the food here . <eos>,Present
the only thing i have had . <eos>,Present
there are plenty of the best hotels in vegas . <eos>,Present
thank you for making my experience and i have been here . <eos>,Present
the ladies here are always nice and helpful . <eos>,Present
it is the best pizza in town hands . <eos>,Present
it ' s not worth the wait for the wait . <eos>,Present
the prices are very reasonable . <eos>,Present
thank you for making my wedding and i love it ! <eos>,Present
"i love the food , and the service is always been great . <eos>",Present
the prices are great and the service is great . <eos>,Present
all of the staff is always been very helpful and willing to help me . <eos>,Present
"but , it ' s not worth it . <eos>",Present
the food is always great and consistent . <eos>,Present
thank you for making my life and i will definitely be back ! <eos>,Present
"the prices are reasonable , especially considering the quality of the food is great . <eos>",Present
"my wife ' s , i love the food here and the atmosphere . <eos>",Present
i have never had such a good selection of flavor . <eos>,Present
the staff is always friendly and i always leave a smile . <eos>,Present
everything is so fresh . <eos>,Present
"they are always very friendly and helpful , and the food is always good . <eos>",Present
this place is a hidden gem of a great place . <eos>,Present
they are always very nice and helpful . <eos>,Present
"the food is good , but not very good . <eos>",Present
i do n't know how they are doing the service and they are rude . <eos>,Present
they have a great selection of . <eos>,Present
the staff is very nice too . <eos>,Present
it is very good and i love it . <eos>,Present
"great service , and i have been here for years and they are always great . <eos>",Present
i do n't recommend this place to anyone . <eos>,Present
"if you want to go back , i will not recommend this place . <eos>",Present
i highly recommend . <eos>,Present
the manager says they do n't care about it . <eos>,Present
all the staff here is very friendly . <eos>,Present
there are always a great deal to go back and i love the kids . <eos>,Present
they do n't care about the food is good . <eos>,Present
there is no one option for $ _num_ per fee . <eos>,Present
the fries are a must . <eos>,Present
thank you for making my dental and dedication to work with . <eos>,Present
they are very friendly and very reasonably priced . <eos>,Present
the prices are the best part of the city . <eos>,Present
i am not kidding back . <eos>,Present
it is the best ! <eos>,Present
they are always very nice . <eos>,Present
"but it ' s not a good job , but they do n't care . <eos>",Present
"if you are looking for a good meal , the food here . <eos>",Present
love this place and love love love it ! <eos>,Present
but the owner is not a great job at all costs . <eos>,Present
the food is always great . <eos>,Present
i love this place and everyone . <eos>,Present
they have a good selection of beers and the prices are reasonable . <eos>,Present
i am very happy and they do n't care about their customers . <eos>,Present
the chicken is tender and juicy . <eos>,Present
i feel like i am so disappointed with the service and i will return . <eos>,Present
the worst part of the customer service . <eos>,Present
food is always great and reasonably priced . <eos>,Present
the food is always good and the service is great . <eos>,Present
this is a _num_ star rating because i would have a great time . <eos>,Present
"also , the food is always fresh and tasty . <eos>",Present
"the fried rice is very good , and the chicken is delicious . <eos>",Present
"overall , this place is a great place . <eos>",Present
the staff is very friendly and helpful . <eos>,Present
he has the staff and the staff is very friendly and helpful . <eos>,Present
the food is always fresh and tastes delicious . <eos>,Present
these guys are always great and helpful . <eos>,Present
the service is always great and very helpful . <eos>,Present
it is a great place . <eos>,Present
so i am a fan of the place to be desired . <eos>,Present
it is a good thing to get a good deal . <eos>,Present
it ' s a great place to hang up . <eos>,Present
"if you are in the area , it is a great place . <eos>",Present
this is a great place to hang up and the kids alike . <eos>,Present
this is a good choice . <eos>,Present
it is the best thing i have ever had . <eos>,Present
"everything , the food is very good and very tasty . <eos>",Present
i ' ve eaten here several times and always have a great experience here . <eos>,Present
there is a great selection of the menu and you can eat here . <eos>,Present
this is a good place . <eos>,Present
they take care of your pets and you feel very comfortable . <eos>,Present
are you kidding me ? <eos>,Present
this place is awesome ! <eos>,Present
"it is a good place to eat , but the food is great . <eos>",Present
but it ' s a great place to eat in the strip . <eos>,Present
this place is a joke . <eos>,Present
"but , i do n't think why i love it . <eos>",Present
the service here is absolutely amazing ! <eos>,Present
i love this place . <eos>,Present
this place has a great selection . <eos>,Present
"it ' s a nice place to watch , and the staff . <eos>",Present
the prices are very reasonable and very reasonable . <eos>,Present
the service is always great . <eos>,Present
"they have the service , and the staff is always very friendly . <eos>",Present
the food is n't worth the wait for the wait . <eos>,Present
this place is a bit pricey but worth the wait for the money . <eos>,Present
dr . katz are very knowledgeable and i have never had such a great time . <eos>,Present
this place is a good place to hang up . <eos>,Present
"prices are reasonable , especially the food is always good . <eos>",Present
the service is always great and i will definitely recommend this place . <eos>,Present
i love the food and the atmosphere . <eos>,Present
"the food is always good , but the service is very good . <eos>",Present
this place is a good place to hang up . <eos>,Present
i feel like i am very satisfied with the service and service . <eos>,Present
this place is awesome ! <eos>,Present
it is just ok . <eos>,Present
i am a fan of this place and i will definitely be back again . <eos>,Present
the food is always fresh and delicious . <eos>,Present
"also , i have ordered the chicken and fries are so good . <eos>",Present
"the prices are reasonable , especially the quality of food . <eos>",Present
"as i love the fact , this place is a joke . <eos>",Present
they are very friendly and willing to make you feel like family . <eos>,Present
this is the best ! <eos>,Present
this is my favorite place . <eos>,Present
"$ _num_ for _num_ _num_ years , i have never been disappointed . <eos>",Present
it is awesome ! <eos>,Present
the staff are always very helpful . <eos>,Present
i recommend for the first time for the food and service is great . <eos>,Present
the food is always good and the service is great . <eos>,Present
"great service , and the food is always great and the service is great . <eos>",Present
the food is always great . <eos>,Present
the staff is always very nice . <eos>,Present
this place is awesome ! <eos>,Present
service and food is always great . <eos>,Present
they have a good selection of beers and reasonably priced . <eos>,Present
this place is a great place to hang up for lunch . <eos>,Present
the food is not worth the wait . <eos>,Present
"it is very good , but not worth it . <eos>",Present
this is the best place to eat in the area to get your money . <eos>,Present
there are no signs in the area . <eos>,Present
this place is a good place to hang up and the kids are great . <eos>,Present
it ' s a great place to eat with the food . <eos>,Present
best family and i have ever had a great time in vegas . <eos>,Present
