text,label
it was a little pricey but it was worth the trip trip . <eos>,Singular
the food was great and the service was not worth the wait . <eos>,Singular
if you want to be a hurry to get a great deal with this place . <eos>,Singular
i wish i could give it zero stars stars stars stars . <eos>,Singular
the food was mediocre at best part of the price . <eos>,Singular
it was a little pricey but i ordered the chicken teriyaki . <eos>,Singular
everyone is so friendly . <eos>,Singular
the food here is always great . <eos>,Singular
it was a little pricey but it was worth it . <eos>,Singular
i ' m not sure i guess . <eos>,Singular
this place is a rip off off to earth . <eos>,Singular
had a great time here and it was delicious . <eos>,Singular
i have been treated with the food and service . <eos>,Singular
this is a great place to go to get a quick bite and friendly . <eos>,Singular
food is good and service is always good . <eos>,Singular
had a great experience with a great time . <eos>,Singular
i love this place for lunch or dinner . <eos>,Singular
i guess i ' ve had a bad experience here . <eos>,Singular
"when i arrived , i was not impressed . <eos>",Singular
the only thing i was so impressed . <eos>,Singular
this is a great place to eat . <eos>,Singular
it was so good and the food was very good . <eos>,Singular
this place is a great place to eat . <eos>,Singular
had a great time at this point . <eos>,Singular
this place has a great selection of wine list of the food . <eos>,Singular
"if you want to be a hurry , this is a must . <eos>",Singular
this place is a rip off . <eos>,Singular
the food was mediocre at best . <eos>,Singular
"the food is just ok , but i will be back . <eos>",Singular
it ' s amazing ! <eos>,Singular
it was a great experience . <eos>,Singular
the food was great and the service was great and the atmosphere sucked . <eos>,Singular
but i had a great experience at this place . <eos>,Singular
he was very friendly and answered me with my questions . <eos>,Singular
and the food was amazing . <eos>,Singular
the food is the best . <eos>,Singular
it ' s a great place to eat . <eos>,Singular
the food is good and the service is always top notch . <eos>,Singular
the service is always great and i will be back soon . <eos>,Singular
but this place is worth the drive to get the money . <eos>,Singular
i love the food and the service is great . <eos>,Singular
love the food and the best i have had . <eos>,Singular
they were a great selection of us and the food was great . <eos>,Singular
"if you want to go here , and it is amazing ! <eos>",Singular
i had a great experience with my friends and i will definitely return . <eos>,Singular
but i was not impressed with the service i received was a refund . <eos>,Singular
it was so good . <eos>,Singular
the service was friendly and the food was great . <eos>,Singular
when i arrived in and it was a little bit dry . <eos>,Singular
i was not impressed with the service i would have ever received . <eos>,Singular
the food is great and the service is always great . <eos>,Singular
but it ' s worth the money for sure . <eos>,Singular
my family and i had a great time . <eos>,Singular
the only thing that was the manager was not even apologetic . <eos>,Singular
this is my favorite place to eat . <eos>,Singular
the staff is friendly and always super friendly . <eos>,Singular
this is a great place to a great atmosphere . <eos>,Singular
